% Model:              Devoir2_V11.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 26 2022, 18:51
% Dimension:          1
% Nodes:              9
% Expressions:        1
% Description:        Température
% R                       T2 (K) @ t=10, N=9
0                         1.041519209620856
0.0625                    1.125911557697472
0.125                     1.3877380510340707
0.1875                    1.8535658972425022
0.25                      2.570139959554959
0.3125                    3.6093815092346144
0.375                     5.077676037057326
0.4375                    7.131279762526983
0.5                       9.999999999999998
